Age,Gender,Weight (kg),Height (m),Max_BPM,Avg_BPM,Resting_BPM,Session_Duration (hours),Calories_Burned,Workout_Type,Fat_Percentage,Water_Intake (liters),Workout_Frequency (days/week),Experience_Level,BMI,Daily meals frequency,Physical exercise,Carbs,Proteins,Fats,Calories,meal_name,meal_type,diet_type,sugar_g,sodium_mg,cholesterol_mg,serving_size_g,cooking_method,prep_time_min,cook_time_min,rating,Name of Exercise,Sets,Reps,Benefit,Burns Calories (per 30 min),Target Muscle Group,Equipment Needed,Difficulty Level,Body Part,Type of Muscle,Workout,BMI_calc,cal_from_macros,pct_carbs,protein_per_kg,pct_HRR,pct_maxHR,cal_balance,lean_mass_kg,expected_burn,Burns Calories (per 30 min)_bc,Burns_Calories_Bin
21.99,Female,111.19,1.92,171.73,144.49,55.16,1.17,1544.4,HIIT,28.06566394,3.31,2.96,2,30.16,2.03,1.04,326.39,132.17,87.81,3129,Other,Dinner,Balanced,39.98,1301.06,210.53,125.96,Grilled,34.92,12.04,1.19,Russian Twists,5.02,19.92,Improves balance and leg strength,346.64,Triceps,Box or Platform,Advanced,Back,Posterior,Barbell curls,30.16221788,2624.53,0.4974452569,1.188686033,0.7663206657,0.8413789088,1584.6,79.98378827,811.1376,7.99E+19,Medium
52.52,Male,57.72,1.59,198.94,164.14,65.23,1.49,1074.59,Yoga,22.78322447,2.01,3.01,2.02,22.83,3,-0.03,256.75,103.02,68.95,1623,Other,Snack,Paleo,25.6,1545.06,122.88,159.3,Fried,45.14,42.12,2.93,Scissors Kicks,4.01,24.03,Improves shoulder mobility and posture,336.76,"Obliques, Core",Bench or Chair,Beginner,Abs,Middle,Plank,22.83137534,2059.63,0.4986332497,1.784823285,0.7397352479,0.8250728863,548.41,44.56952284,1003.5448,6.31E+19,Low
29.84,Female,60.83,1.55,171.92,119.95,51.96,1.3,936,Yoga,26.23856921,1.6,3,2,25.32,3.01,0.02,197.79,78.9,53.63,1856,Other,Lunch,Vegetarian,44.32,1631.83,220.41,463.12,Raw,8.22,71.38,4.57,Kettlebell Swings,4,24.95,Isolates and strengthens triceps,362.91,"Shoulders, Upper Back","Bench, Barbell",Beginner,Shoulders,Lateral,Chest flyes,25.3194589,1589.43,0.4977633491,1.297057373,0.5667722574,0.6977082364,920,44.86907835,943.566,1.16E+20,Very High
28.06,Female,66.92,1.67,170.6,156.76,73.65,0.61,605.55,Strength,25.33249492,2.31,3.02,1.03,24,3.02,-0.02,166.73,66.16,44.45,1760,Other,Dinner,Paleo,33.03,2519.51,168.06,360.16,Baked,29.7,18.38,1.32,Dead Bugs,5.02,20.89,Improves unilateral leg strength and balance,330.61,"Core, Shoulders, Hips",None or Dumbbells,Intermediate,Forearms,Quads,Hammer curl,23.99512353,1331.61,0.5008373323,0.988643156,0.8572460031,0.9188745604,1154.45,49.9674944,403.3442,5.43E+19,Low
31.85,Male,65.56,1.62,186.13,127.67,62.77,0.57,376.54,Yoga,25.35828044,3.39,1.99,1.01,24.98,2.01,2.03,245.86,98.09,64.99,1768,Other,Snack,Low-Carb,41.66,1897.75,43.45,223.97,Fried,41.85,86.37,2.76,Squats,4.03,23.04,Improves balance and coordination,345.2,"Lower Chest, Triceps","Bench, Barbell",Intermediate,Chest,Upper,Military press,24.98094803,1960.71,0.5015734096,1.496186699,0.5261024643,0.6859184441,1391.46,48.93511134,393.528,7.73E+19,Medium
51.36,Female,65.04,1.5,164.08,164.91,68.25,1.84,1434.1,Yoga,31.60922668,2.69,4,2.99,28.91,4.02,0,213.19,86.3,57.36,1731,Other,Dinner,Vegetarian,28.96,1390.5,205.1,379.74,Fried,58.5,6.51,3.57,Lunges,4,22.89,Improves posture and strengthens upper back,363.62,Lower Abs,Bench or Chair,Advanced,Legs,Grip Strength,Pull-ups,28.90666667,1714.2,0.4974682067,1.326875769,1.008661171,1.005058508,296.9,44.48135897,1338.1216,1.18E+20,Very High
21.84,Male,117.01,1.68,171.71,134.28,57.01,1.25,1651.38,HIIT,35,2.71,3,2.01,41.46,2.96,0.02,247.09,98.21,65.39,3063,Other,Snack,Low-Carb,44.91,1139.54,61.08,134.9,Roasted,38.62,108.97,2.81,Decline Push-ups,5.03,24.03,Strengthens back and improves posture,372.01,"Biceps, Forearms",Low Bar or TRX,Advanced,Shoulders,Wrist Extensors,Plank,41.45762472,1969.71,0.5017794498,0.8393299718,0.6736704446,0.7820161901,1411.62,76.0565,930.025,1.42E+20,Very High
58.68,Male,88.77,1.72,188.5,152.12,67.21,1.08,951.26,Cardio,30.50910875,3.19,3.02,1.01,30.01,2.99,-0.02,247.08,98.75,65.55,2240,Other,Breakfast,Vegan,46.67,1241.83,142.44,200.19,Grilled,58,119.18,3.06,Incline Push-ups,4.99,15.06,Strengthens back and improves posture,354.67,"Chest, Triceps",None or Dumbbells,Intermediate,Chest,Wrist Extensors,Dumbbell flyes,30.00608437,1973.27,0.5008539125,1.112425369,0.7000577129,0.8070026525,1288.74,61.68706416,766.0872,9.64E+19,High
39.07,Male,127.52,1.82,179.95,161.01,69.92,1.26,1360.8,Strength,35,2.99,3.02,2,38.5,3,-0.02,252.42,100.36,67.37,3460,Other,Snack,Low-Carb,44.06,454.03,235.47,327.46,Fried,56.31,104.06,2.25,Bear Crawls,5.01,18.05,Targets lower chest,346.91,"Triceps, Chest",Step or Box,Beginner,Shoulders,Lateral,Leg press,38.49776597,2017.45,0.5004733698,0.7870138018,0.8278651277,0.8947485413,2099.2,82.888,874.2132,8.04E+19,Medium
53.24,Female,55.37,1.55,171.01,141.15,54.09,1.11,1198.8,Strength,25.14843798,1.81,4.01,2,23.05,2.02,-0.01,216.64,86.72,57.86,1479,Other,Snack,Low-Carb,39.43,1236.11,115.6,209.1,Raw,39.13,7.77,1.75,Seated Rows,5,24.04,Improves posture and strengthens upper back,331.26,Full Body,"Bench, Barbell",Beginner,Chest,Anterior,Face pulls,23.04682622,1734.18,0.4996943801,1.566191078,0.7446117003,0.8253903281,280.2,41.44530989,735.3972,5.52E+19,Low
34.07,Male,72.12,1.64,169.6,133.61,66.92,1.26,1665.97,HIIT,28.50237714,2.1,4.01,2.02,26.81,3.98,0.03,243.53,96.78,65.26,1973,Other,Breakfast,Vegetarian,46.39,406.61,241.18,413.03,Steamed,13.23,17.95,3.99,Mountain Climbers,4,22.95,Improves core stability,355.76,"Upper Back, Rear Deltoids",Cable Machine,Intermediate,Back,Lower,Dumbbell front raises,26.81439619,1948.58,0.499912757,1.341930116,0.6494935723,0.7877948113,307.03,51.56408561,896.5152,9.88E+19,High
41.78,Female,45.23,1.77,183.56,138.61,62.86,0.6,725.34,HIIT,17.95481021,2.59,2,1,14.44,3.01,0.01,310.2,123.69,82.01,1164,Other,Dinner,Keto,45.5,104.42,15.43,291.36,Grilled,57.58,16.71,3.4,Pistol Squats,5,15.05,Builds explosive upper body power,326.8,"Legs, Core","Bench, Barbell",Advanced,Chest,Lateral,Barbell hip thrusts,14.437103,2473.65,0.5016069371,2.734689365,0.6275890638,0.7551209414,438.66,37.10903934,392.16,4.94E+19,Low
56.97,Male,63.87,1.52,170.26,129.17,51.92,1.73,1800.58,Cardio,28.65091954,2.68,5.02,3.01,27.64,3,0.03,208.01,83.16,55.05,1783,Other,Dinner,Paleo,20.56,162.82,58.44,331.05,Baked,40.85,76.82,2.06,Dips,3.98,25.02,Targets abdominal muscles,333.72,"Upper Back, Rear Deltoids",Pull-up Bar,Beginner,Abs,Wrist Flexors,Towel pull-up,27.64456371,1660.13,0.5011896659,1.302019728,0.6527801251,0.758663221,-17.58,45.57065769,1154.6712,5.86E+19,Low
40.17,Female,62.54,1.53,196.85,142.83,72.97,1.94,2271.55,Strength,24.44126256,2.7,5.01,3.01,26.72,3.99,2.98,365.33,146.32,97.43,2061,Other,Dinner,Balanced,27.75,2404.5,217.84,293.98,Baked,23.65,59.43,4.2,Shoulder Press,4.98,23.03,Improves posture and back strength,358.11,"Back, Core, Shoulders",Dumbbells,Beginner,Chest,Lower Chest,Donkey kicks,26.71622026,2923.47,0.4998580454,2.339622642,0.5639328382,0.7255778512,-210.55,47.25443439,1389.4668,1.04E+20,High
57.32,Female,61.15,1.52,196.2,157.12,66.13,1.31,1259.7,Cardio,27.57016939,1.82,3.01,2.02,26.47,2.02,1.01,234.38,93.5,62.71,1827,Other,Breakfast,Paleo,17.59,1603.57,201.87,221.65,Grilled,5.2,51.29,1.2,Bicycle Crunches,5.01,19.07,Targets biceps and forearms,338.13,Triceps,Box or Platform,Intermediate,Forearms,Quads,Fat grip dumbbell curl,26.46727839,1875.91,0.4997681125,1.529026983,0.6995463981,0.8008154944,567.3,44.29084142,885.9006,6.53E+19,Medium
53.31,Female,68.89,1.97,194,139,68.88,1.3,936,Yoga,22.38938467,2.09,3.02,2,17.75,3.01,0.03,238.81,95.23,63.88,1753,Other,Lunch,Low-Carb,47.73,1123.75,108.37,151.15,Grilled,22.69,72.42,2.2,Scissors Kicks,3.98,16.14,Improves shoulder health and posture,368.25,"Rear Deltoids, Upper Back","Bench, Barbell",Advanced,Arms,Triceps,Standing calf raises,17.75103713,1911.08,0.4998430207,1.382348672,0.5604219949,0.7164948454,817,53.4659529,957.45,1.31E+20,Very High
30.77,Female,77.14,1.71,190.14,136.93,51.65,1.27,915.16,Yoga,30.0419618,1.8,4,2.01,26.38,2,1.01,224.73,89.47,58.95,2393,Other,Snack,Vegan,15.44,350.03,231.72,405.76,Fried,60.16,71.63,1.82,Wall Angels,4.01,23.97,Improves shoulder mobility and posture,352.07,"Legs, Shoulders, Core",None or Dumbbell,Intermediate,Legs,Posterior,Preacher curls,26.38076673,1787.35,0.502934512,1.159839253,0.6157845332,0.7201535711,1477.84,53.96563067,894.2578,9.08E+19,High
56.94,Male,43.16,1.75,179.84,159.75,73.06,1.39,1223.2,Cardio,14.9918664,1.69,2,1,14.09,3,-0.01,210.84,85.41,56.24,1340,Other,Snack,Low-Carb,2.84,1784.58,104.65,484.03,Baked,6.51,30.22,1,Jumping Jacks,4.99,19.99,Full body workout,346.65,"Back, Core, Shoulders",Bench or Step,Advanced,Chest,Lower Chest,Hammer curl,14.09306122,1691.16,0.4986872916,1.978915663,0.8118561528,0.8882895907,116.8,36.68951046,963.687,8.00E+19,Medium
23.21,Male,83.77,1.99,179.22,129.89,71.07,1.79,1863.03,Cardio,24.75315031,3.5,4.02,3.01,21.15,3,0,175.34,70.44,47.06,2250,Other,Dinner,Paleo,8.02,2210.54,224.69,208.08,Roasted,9.88,73.24,3.6,Lat Pulldowns,4,20.96,Targets biceps and forearms,347.28,"Lower Back, Glutes",Parallel Bars or Chair,Beginner,Forearms,Lower,Leg press,21.15350622,1406.66,0.4985995194,0.8408738212,0.5438742487,0.7247517018,386.97,63.03428599,1243.2624,8.12E+19,Medium
46.68,Female,127.9,1.65,197.84,156.76,60.26,0.77,508.66,Yoga,35,3.51,1.98,1.01,46.98,3.01,0.02,243.75,97.24,65.05,3221,Other,Lunch,Balanced,42.64,266.35,269.41,313.6,Steamed,19.29,52.18,1.68,Face Pulls,4.99,16.04,Strengthens lower abs,377.55,Calves,Step or Box,Advanced,Forearms,Wrist Flexors,Incline cable crossovers,46.97887971,1949.41,0.5001513278,0.7602814699,0.7014100887,0.7923574606,2712.34,83.135,581.427,1.61E+20,Very High
53.14,Male,52.75,1.7,175.04,152.06,72.18,1.14,1092.58,Cardio,21.55404525,3.48,3.01,1.98,18.25,1.98,0.98,369.53,147.4,97.71,1402,Other,Breakfast,Keto,11.63,821.83,79.08,113.68,Boiled,8.51,77.06,4.17,Pistol Squats,4.01,7.91,Builds calf muscles,314.81,"Chest, Triceps, Shoulders",Bench or Sturdy Surface,Beginner,Arms,Triceps,Romanian deadlifts,18.25259516,2947.11,0.5015489751,2.794312796,0.7765895392,0.8687157221,309.42,41.38024113,717.7668,3.64E+19,Low
42.6,Male,94.22,1.79,186.96,156.47,61.86,1.31,1301.62,Strength,29.98028448,3.41,1.95,1.04,29.41,3,0,261.35,104.93,69.9,2553,Other,Lunch,Vegan,18.95,1417.54,234.77,397.96,Baked,45.87,93.27,3.6,Superman,4.01,17.11,Improves balance and coordination,337.51,"Legs, Core",Cable Machine or Resistance Band,Intermediate,Back,Grip Strength,Preacher curls,29.40607347,2094.22,0.4991834669,1.113670134,0.75627498,0.8369169876,1251.38,65.97257597,884.2762,6.43E+19,Low
20.06,Female,71.27,1.58,167.24,167.09,53.92,1.06,1146.71,Strength,30.19103768,1.5,2.98,2.02,28.55,2.99,0,157.08,61.85,41.91,2145,Other,Breakfast,Vegetarian,1.03,261.54,138.75,311.13,Fried,30.41,115.62,3.52,Scissors Kicks,4,22.92,Improves coordination and cardiovascular health,352.05,"Core, Shoulders, Legs",Bench or Chair,Intermediate,Forearms,Lats,Cable crossovers,28.54911072,1252.91,0.5014885347,0.867826575,0.9986763149,0.9991030854,998.29,49.75284745,746.346,9.07E+19,High
23.38,Female,56.51,1.55,179.3,132.16,72.91,1.39,1502.45,Strength,26.01553943,1.91,3.98,2.01,23.52,2.99,0.98,213.59,85.6,57.82,1488,Other,Dinner,Vegetarian,12.17,696.8,301.19,109.21,Roasted,17.15,13.76,1.89,Bulgarian Split Squats,4,15.94,Improves cardiovascular fitness,356.64,"Upper Back, Rear Deltoids",None or Dumbbells,Beginner,Legs,Grip Strength,Concentration curls,23.52133195,1717.14,0.4975482488,1.514776146,0.5569132437,0.7370886782,-14.45,41.80861867,991.4592,1.01E+20,High
46.74,Female,60.54,1.76,162.03,153.26,54.31,1.54,1202.12,Yoga,21.6374146,2.71,5,3.01,19.54,3.01,-0.01,270.52,108,72.21,1931,Other,Dinner,Paleo,34.1,2169.94,194.72,492.77,Fried,11.49,116.29,2.7,Lat Pulldowns,4,15.01,Strengthens triceps and chest,330.24,"Core, Shoulders, Hips",None or Dumbbells,Advanced,Chest,Lower,Decline dumbbell flyes,19.54416322,2163.97,0.5000439008,1.7839445,0.9185852209,0.9458742208,728.88,47.4407092,1017.1392,5.38E+19,Low
48.97,Female,44.21,1.65,189.18,133.08,73.73,1.15,1519.26,HIIT,19.904491,1.8,4,2.01,16.24,3.02,0,264.91,105.65,70.73,1497,Other,Dinner,Keto,9.32,1337.63,177.77,219.21,Grilled,38.46,18.47,1.81,Flutter Kicks,3.99,18.88,Improves core stability,359.94,"Core, Lower Back",Barbell,Beginner,Shoulders,Grip Strength,Leg press,16.23875115,2118.81,0.5001109113,2.38973083,0.5140753573,0.7034570251,-22.26,35.41022453,827.862,1.09E+20,High
37.04,Male,70.28,1.5,195.64,130.1,66.22,0.69,455.81,Yoga,29.62218272,2.4,1.99,1.01,31.24,2.99,-0.03,257.45,103.37,69.23,1966,Other,Dinner,Vegetarian,42.37,653.35,139.41,488.6,Steamed,9.77,13.54,1.77,Kettlebell Swings,4,23.9,Strengthens triceps and chest,334.68,"Full Body, Core, Shoulders",Dumbbells or Barbell,Intermediate,Legs,Wrist Extensors,Plate pinch,31.23555556,2066.35,0.4983666852,1.470830962,0.4935867718,0.6649969331,1510.19,49.46152999,461.8584,6.00E+19,Low
34.47,Female,85.56,1.85,184.67,135.25,54.98,1.78,2545.4,HIIT,25.65626534,3.51,4.99,3,25,2.98,-0.01,163.02,66.11,43.72,2374,Other,Snack,Paleo,25.03,1019.43,69.62,236.58,Raw,51.23,29.87,1.53,Dead Bugs,4.01,23.01,Improves core stability and upper body strength,354.51,"Chest, Triceps, Shoulders",Cable Machine,Beginner,Arms,Wrist Flexors,Pull-ups,24.99926954,1310,0.4977709924,0.7726741468,0.6189374663,0.732387502,-171.4,63.60849937,1262.0556,9.60E+19,High
42.32,Female,88,1.93,187.86,158.53,64.92,1.69,1977.3,Strength,25.23251101,3.51,4,3,23.62,2.99,-0.02,224.8,90.82,60.3,2402,Other,Breakfast,Keto,5.92,876.42,272.57,172.17,Raw,26.45,47.75,4.73,Bicycle Crunches,3.99,16.03,Builds shoulder width,340.99,"Back, Core, Shoulders",Dumbbells or Barbell,Intermediate,Chest,Lateral,Bicep Curls,23.6247953,1805.18,0.4981220709,1.032045455,0.761428339,0.843873097,424.7,65.79539031,1152.5462,6.99E+19,Medium
45.98,Male,61.93,1.55,197.33,125.11,73.43,1.61,1883.7,Strength,23.47598521,2.69,4.05,3,25.78,1.99,0.02,235.76,94.15,63.11,1721,Other,Lunch,Vegetarian,45.69,224.58,77.48,395.24,Boiled,11.75,88.31,1.49,Box Jumps,5.05,17.05,Targets lower abs,337.59,"Shoulders, Upper Back",Bench or Step,Beginner,Back,Lats,Cable crossovers,25.7773153,1887.63,0.4995894323,1.520264815,0.417110573,0.6340140881,-162.7,47.39132236,1087.0398,6.44E+19,Low
22.02,Female,101.51,1.85,189.84,156.62,67.03,1.47,1942.02,HIIT,30.98053462,2.39,4.01,2.01,29.66,3.98,0.04,236.36,94.61,62.87,2740,Other,Snack,Balanced,21.15,485.64,212.74,292.29,Fried,36.21,84.1,2.62,Prone Cobras,3.99,19.89,Improves unilateral leg strength and balance,365.28,"Back, Core, Shoulders",Step or Box,Intermediate,Legs,Anterior,Leg press,29.65960555,1889.71,0.5003095713,0.9320264013,0.729500855,0.8250105352,797.98,70.0616593,1073.9232,1.23E+20,Very High
44.08,Female,47.56,1.76,188.99,124.49,51.95,0.87,573.16,Yoga,22.68676222,2.59,2.01,1,15.35,1.99,0.99,275.88,111.77,73.61,1304,Other,Breakfast,Keto,27.57,1248.3,291.61,159.33,Steamed,55.07,82.09,3.3,Tricep Dips,5,20.12,Improves posture and strengthens upper back,365,"Core, Shoulders, Legs",Pull-up Bar,Intermediate,Arms,Wrist Extensors,Leg curls,15.35382231,2213.09,0.4986331329,2.350084104,0.5293345009,0.6587121012,730.84,36.77017589,635.1,1.22E+20,Very High
22.42,Female,78.62,1.52,173.31,165.56,74.23,1.45,1912.41,HIIT,33.21907581,2.28,3.03,1.99,34.03,3.02,0.01,310.59,123.83,82.94,2136,Other,Breakfast,Vegan,17.02,1656.24,106.1,373.29,Steamed,24.16,48.58,2.22,Bird Dogs,3.98,24,Improves hip power and cardiovascular fitness,348,"Back, Core, Shoulders",None or Dumbbells,Beginner,Forearms,Quads,Standing calf raises,34.02873961,2484.14,0.5001167406,1.575044518,0.9217803795,0.9552824419,223.59,52.50316259,1009.2,8.25E+19,Medium
46.95,Male,66.4,1.71,181.38,168.4,71.02,1.43,1414.41,Strength,27.12358358,2.9,3.01,1,22.71,3,2.02,293.75,117.85,79.25,1660,Other,Breakfast,Vegan,41.59,1071.38,146.18,489.62,Grilled,42.88,112.9,1.12,Plyometric Push-ups,4.02,21.99,Improves posture and strengthens upper back,348.56,"Chest, Triceps, Shoulders",Low Bar or TRX,Beginner,Arms,Anterior,Bicep Curls,22.70784173,2359.65,0.4979552052,1.774849398,0.8823849221,0.9284375345,245.59,48.3899405,996.8816,8.36E+19,Medium
45.35,Male,65.67,1.78,180.29,157.82,65.89,1.46,1444.09,Strength,23.58380486,2.31,2.99,1,20.73,4.01,1.05,286.27,115.55,76.27,1807,Other,Dinner,Keto,12.71,1187.1,108.37,304.38,Raw,29.63,30.39,4.43,Zottman Curls,4.01,18.15,Activates and strengthens glutes,345.55,"Quadriceps, Calves, Glutes",Bench or Sturdy Surface,Beginner,Back,Triceps,Preacher curls,20.72654968,2293.71,0.4992261445,1.759555353,0.8035839161,0.8753674635,362.91,50.18251535,1009.006,7.79E+19,Medium
41.19,Female,79.13,1.72,171.84,132.22,61.99,1,718.8,Yoga,29.02109826,3.12,4.02,1.98,26.75,4,0.03,272.82,109.98,73.38,2261,Other,Snack,Vegan,36.08,948.19,199.08,397.49,Fried,28.51,44.93,4.37,Decline Push-ups,4.99,16.1,Full body workout,358.32,"Upper Back, Rear Deltoids",Resistance Band,Intermediate,Back,Lats,Close-grip bench press,26.74756625,2191.62,0.4979330358,1.389864779,0.6393263541,0.7694366853,1542.2,56.16560495,716.64,1.05E+20,High
22.87,Male,106.65,1.94,197.82,120.17,72.82,1.35,1189.08,Cardio,29.92565454,2.9,2.02,1.01,28.34,2.99,0.01,153.52,61.98,40.95,2824,Other,Snack,Keto,1.43,692.06,288.01,300.5,Fried,16.85,114.71,1.77,Deadlift,5,15.03,Improves posture and back strength,342.3,"Core, Shoulders, Hips",Bench or Step,Advanced,Abs,Wrist Flexors,Incline dumbbell press,28.33723031,1230.55,0.4990288895,0.5811533052,0.3788,0.6074714387,1634.92,74.73428943,924.21,7.21E+19,Medium
37.93,Female,46.21,1.68,193.03,143.97,57.96,1,959.2,Cardio,20.23145274,2.38,2.99,1.99,16.37,2.98,0.02,283.83,113.01,75.35,1196,Other,Lunch,Paleo,11.97,1230.91,7.47,343.67,Fried,58.27,117.97,3.22,Bear Crawls,3.99,18.08,Improves coordination and cardiovascular health,336.72,"Quadriceps, Calves, Glutes",Bench or Sturdy Surface,Intermediate,Shoulders,Middle,Dumbbell flyes,16.3725907,2265.51,0.5011321954,2.445574551,0.6367809284,0.7458426151,236.8,36.86104569,673.44,6.31E+19,Low
53.54,Female,105.78,1.84,176.15,130.04,61.96,0.7,693,Strength,32.14012635,2.89,2.98,1,31.24,3.01,-0.03,170.14,68.44,45.37,2728,Other,Breakfast,Vegan,15.19,2377.6,41.52,413.55,Roasted,20.91,57.01,3.41,Bulgarian Split Squats,4,25.05,Improves core rotation strength,374.52,Full Body,Wall,Beginner,Back,Quads,Bicep Curls,31.24409263,1362.65,0.4994385939,0.6470032142,0.5961993169,0.7382344593,2035,71.78217435,524.328,1.50E+20,Very High
49.81,Male,51.98,1.5,182.3,141.17,58.08,1.33,1615.15,HIIT,22.05129621,2.2,2.99,1.04,23.1,3.01,1.02,225.39,90.32,60.39,1454,Other,Breakfast,Balanced,25.3,423.31,102.33,296.48,Roasted,34.92,7.94,2.72,Zottman Curls,4.99,15.05,Strengthens lower abs,349.62,"Core, Shoulders, Hips","Bench, Barbell",Beginner,Chest,Lateral,Bicep Curls,23.10222222,1806.35,0.4991059319,1.737591381,0.6688938979,0.7743828854,-161.15,40.51773623,929.9892,8.57E+19,High
41.03,Female,44.3,1.77,182.34,164.86,57.88,1.19,1047.2,Cardio,18.93061176,1.58,3.02,1,14.14,2.01,0,277.32,111.39,74.15,1052,Other,Breakfast,Balanced,47.37,332.07,293.37,470.13,Baked,15.76,79.92,1.81,Bench Press,2.99,11.93,Builds calf muscles,165.24,Triceps,Parallel Bars or Chair,Advanced,Arms,Middle,Seated cable rows,14.14025344,2222.19,0.4991832382,2.514446953,0.8595532701,0.9041351322,4.8,35.91373899,393.2712,1.90E+17,Low
52.27,Female,44.51,1.62,179.02,121.13,61.25,1.41,930.6,Yoga,22.59699435,1.59,3.01,1,16.96,1.98,0.98,239.19,95.65,64.27,1246,Other,Breakfast,Keto,13.33,2098.2,245.87,403.48,Fried,39.16,99.52,3,Bulgarian Split Squats,3.99,24.85,Strengthens core and improves mobility,330.21,"Shoulders, Triceps","Bench, Barbell",Advanced,Legs,Middle,Dumbbell front raises,16.96006706,1917.79,0.4988867394,2.148955291,0.5084486711,0.6766283097,315.4,34.45207781,931.1922,5.38E+19,Low
28.96,Male,120.64,1.78,197.01,167.97,64.63,0.79,521.4,Yoga,35,3.4,2,1,38.08,2.03,0.06,215.32,84.82,56.87,3265,Other,Breakfast,Vegan,21.5,1045.33,35.02,233.55,Fried,58.72,17.26,2.97,Incline Push-ups,2.99,15.1,Strengthens lower abs,144.88,Shoulders,Kettlebell,Advanced,Arms,Middle,Cable crossovers,38.0760005,1712.39,0.5029695338,0.7030835544,0.7806315153,0.8525963149,2743.6,78.416,228.9104,6.51E+16,Low
48.86,Male,79.32,1.72,194.37,127.79,68.9,1.46,1446.71,Strength,28.42206001,3.32,3.03,1.01,26.81,2.99,0.03,243.95,97.48,64.26,2280,Other,Breakfast,Paleo,45.33,2032.14,293.46,248.7,Roasted,11.26,54.62,3.28,Lateral Raises,5.01,22.05,Targets obliques and improves core rotation,367.27,"Quadriceps, Calves, Glutes",Parallel Bars or Chair,Intermediate,Arms,Anterior,Decline dumbbell flyes,26.81179016,1944.06,0.5019392406,1.228946041,0.4693552244,0.6574574266,833.29,56.775622,1072.4284,1.28E+20,Very High
51.87,Female,116.13,1.69,198.51,147.46,50.86,0.54,476.06,Cardio,35,2.41,1.97,1.02,40.66,1.99,0.01,234.3,93.4,62.45,2963,Other,Dinner,Paleo,35.18,2042.21,295.5,415.41,Boiled,22.86,94.64,3.8,Tricep Extensions,4,17.05,Builds unilateral leg strength and balance,360.81,"Glutes, Hamstrings, Core",Bench or Chair,Beginner,Abs,Upper,Decline dumbbell flyes,40.66034102,1872.85,0.5004138078,0.8042710755,0.6542499153,0.7428341142,2486.94,75.4845,389.6748,1.11E+20,Very High
49.54,Male,90.38,1.71,173.05,153.2,62.02,1.08,1167.37,Strength,32.51743721,3.4,3.97,2.01,30.91,3,0.03,258.3,103.33,68.69,2424,Other,Lunch,Vegan,6.21,2339.18,50.07,176.31,Boiled,60.33,5.95,4.81,Incline Push-ups,5.02,18.98,Combines lower body and upper body strength,370.53,"Glutes, Hamstrings",Box or Platform,Beginner,Legs,Lower,Preacher curls,30.90865565,2064.73,0.5004044112,1.143283912,0.8212194902,0.8852932678,1256.63,60.99074025,800.3448,1.38E+20,Very High
57.16,Male,77.08,1.86,173.14,141.16,54.78,1.14,818.75,Yoga,25.31367802,2.8,3.99,1.97,22.28,2,-0.02,209.21,82.55,55.3,2062,Other,Snack,Keto,4.76,343.36,281.6,156.7,Steamed,7.7,65.65,4.19,Plank,4,16.04,Improves core rotation strength,354.14,"Lower Back, Glutes",Dumbbells or Barbell,Intermediate,Abs,Grip Strength,Bicycle crunches,22.28003237,1664.74,0.502685104,1.070965231,0.7298073674,0.8152939817,1243.25,57.56821698,807.4392,9.52E+19,High
45.33,Female,113.06,1.71,189.92,128.68,62.79,0.83,729.74,Cardio,33.51431077,2.32,1.99,1,38.66,2.99,0.02,210.44,84.5,56.14,2770,Other,Dinner,Vegetarian,22.39,427.86,48.66,232.63,Steamed,7.44,106.09,2.68,Resistance Band Pull-Aparts,5,21.87,Targets abdominal muscles,372.34,"Glutes, Hamstrings",Resistance Band or Cable Machine,Intermediate,Abs,Quads,Dumbbell curls,38.66488834,1685.02,0.4995549014,0.747390766,0.5182883662,0.6775484414,2040.26,75.16872024,618.0844,1.43E+20,Very High
26.41,Female,76.49,1.63,199.07,138.87,71.9,1.08,1068.23,Strength,29.07454244,1.7,2,1,28.79,2,0.98,281.79,112.73,75.13,2021,Other,Lunch,Keto,7.84,2173.82,22.73,361.22,Fried,7.86,61.55,1.72,Jumping Jacks,4.01,21.91,Builds upper body strength,348.51,Shoulders,Low Bar or TRX,Beginner,Chest,Grip Strength,Wrist extension,28.78919041,2254.25,0.5000155262,1.473787423,0.526617913,0.6975938112,952.77,54.25088249,752.7816,8.35E+19,Medium
34.05,Male,64.63,1.78,168.73,144.24,64.09,1.34,1445.99,Strength,21.13408255,1.79,4,1.99,20.4,3.01,-0.01,213.36,85.84,56.95,2084,Other,Snack,Low-Carb,13.03,1511.14,167.76,487.54,Raw,8.97,117.03,0.95,Lunges,4.01,23.13,Builds upper body strength,363.9,"Chest, Triceps, Shoulders",Resistance Band,Beginner,Abs,Wrist Extensors,Barbell curls,20.39830829,1709.35,0.4992775031,1.32817577,0.7659594801,0.8548568719,638.01,50.97104245,975.252,1.19E+20,Very High
